date,location,tourist_count,weather_temp,event,season
2023-02-17,Sydney,8035,21.781284257610643,Festival,Winter
2023-10-30,Tokyo,8252,37.80729438145222,Conference,Autumn
2023-06-03,New York,8311,25.765569630557664,Conference,Autumn
2023-08-26,New York,9044,18.720824085192334,Holiday,Summer
2023-08-15,New York,8577,12.436492547156966,Holiday,Summer
2023-07-21,Paris,7124,20.752659459291877,Conference,Winter
2023-01-25,Paris,7608,-1.7668138927218244,Holiday,Winter
2023-08-21,Sydney,8555,35.62813566208111,Conference,Spring
2023-04-21,Paris,6864,4.769237611196468,Conference,Autumn
2023-06-29,Tokyo,6362,19.88772556620362,Festival,Autumn
2023-08-17,Paris,4512,13.493574308781731,None,Winter
2023-11-27,Paris,10684,-5.027595216622153,Conference,Summer
2023-02-05,Tokyo,8451,19.912094436966445,Holiday,Autumn
2023-03-03,Paris,10616,2.538384413388087,Conference,Spring
2023-06-22,London,7185,26.405820069491515,Festival,Winter
2023-05-20,Paris,6338,26.38592458777374,Festival,Spring
2023-05-19,London,9241,2.704199069908544,Conference,Winter
2023-01-10,Sydney,10760,13.980313211036155,Festival,Summer
2023-04-11,Paris,7433,12.76660917548766,None,Winter
2023-04-04,Paris,9505,14.402580252717279,Festival,Winter
2023-05-17,Tokyo,7844,20.865897874729,Conference,Autumn
2023-03-01,Sydney,8588,14.054839472757507,Conference,Autumn
2023-10-13,New York,6034,25.434831529637776,None,Winter
2023-03-03,London,5824,37.09292494729622,None,Winter
2023-11-24,New York,9510,-3.2635171349977696,Festival,Winter
2023-06-02,Paris,5788,28.29405581183489,Conference,Winter
2023-04-14,New York,9235,1.3264817363089065,Conference,Summer
2023-06-28,Tokyo,9247,25.093781163361058,Holiday,Autumn
2023-08-19,New York,4150,15.406391004597559,None,Autumn
2023-10-16,London,8333,24.789798257463918,Festival,Spring
2023-12-19,Sydney,9555,32.86974963849594,Conference,Summer
2023-09-18,Sydney,10973,29.638503187153617,Holiday,Summer
2023-04-05,New York,10280,3.677819205714812,Holiday,Summer
2023-03-10,London,10835,21.705942035808633,Festival,Summer
2023-07-19,Tokyo,6874,22.799686263198204,Conference,Spring
2023-07-29,Paris,9564,26.433539310540702,Conference,Winter
2023-12-22,London,9301,13.973521946946846,Holiday,Winter
2023-02-20,Sydney,7529,16.70726292944182,Holiday,Spring
2023-12-12,London,8523,45.386911017374864,Conference,Spring
2023-05-29,Paris,4369,26.16215816968061,None,Winter
2023-06-03,Paris,9752,30.517834670159,Conference,Summer
2023-10-21,Tokyo,9961,28.405272502515565,Festival,Summer
2023-05-08,New York,10312,18.09088508611657,Holiday,Summer
2023-01-25,London,5696,17.69065469791322,None,Spring
2023-03-04,New York,6893,17.311113094451695,Festival,Spring
2023-03-04,Sydney,3882,9.3974172605388,None,Autumn
2023-08-03,New York,10155,18.851559805169767,Holiday,Summer
2023-10-12,Paris,3892,45.699268396903335,None,Winter
2023-01-18,Paris,5340,33.88582269040288,Conference,Spring
2023-04-23,Tokyo,8238,16.434679100559233,Festival,Spring
2023-09-21,Sydney,10921,11.713419636622055,Conference,Summer
2023-06-11,London,9024,17.43182972074268,Conference,Winter
2023-11-09,New York,7869,20.987457776373347,Conference,Autumn
2023-03-08,New York,7770,16.493184721212128,Holiday,Winter
2023-04-06,New York,7099,3.067338252902104,Holiday,Autumn
2023-01-07,Tokyo,5748,23.26133022242118,None,Summer
2023-07-07,Tokyo,6049,14.772769794809605,None,Spring
2023-08-22,Tokyo,9329,31.852102915108894,Conference,Summer
2023-08-14,Sydney,7969,29.718226901727355,Conference,Autumn
2023-05-08,Paris,8087,37.014292435261716,Conference,Spring
2023-08-25,Paris,6816,21.70865438127942,None,Summer
2023-01-04,Tokyo,4221,14.602403196906385,None,Spring
2023-03-16,Tokyo,6359,19.91763432937922,None,Autumn
2023-02-03,Paris,4979,38.10950266331943,None,Winter
2023-04-27,Tokyo,4090,11.012000917575358,None,Spring
2023-08-07,Tokyo,5510,9.962421084366293,None,Autumn
2023-06-22,Paris,2630,23.836139538167707,None,Spring
2023-03-05,Tokyo,8198,16.519869137031613,Festival,Autumn
2023-10-19,New York,4201,4.759847582729698,None,Spring
2023-06-13,Paris,10132,25.410018726036288,Conference,Summer
2023-02-24,Sydney,3280,22.977602509183974,None,Autumn
2023-08-15,London,6903,45.60084538268795,None,Summer
2023-07-20,Tokyo,3670,7.319784883569318,None,Spring
2023-05-09,Paris,10302,10.553093124635698,Conference,Winter
2023-10-18,New York,4405,29.85722716823564,None,Spring
2023-11-01,Sydney,9945,22.17507905693561,Festival,Winter
2023-01-12,New York,9080,25.597904479310397,Conference,Autumn
2023-07-17,Paris,6028,33.5484517237325,None,Spring
2023-12-31,Tokyo,10207,24.296182191325858,Holiday,Summer
2023-10-09,Sydney,7638,12.670598812211239,Festival,Spring
2023-01-07,Paris,9036,18.039973687576687,Holiday,Summer
2023-03-23,London,9483,29.382838059759976,Conference,Summer
2023-09-30,New York,7949,30.18886995222481,Holiday,Autumn
2023-06-20,Tokyo,9560,18.13128355838641,Conference,Summer
2023-01-04,Sydney,6713,21.452962397410396,None,Spring
2023-04-18,Tokyo,11065,20.822839892754242,Conference,Summer
2023-04-06,New York,9349,45.97704643234384,Conference,Summer
2023-08-24,Paris,6241,3.1817967486677077,Festival,Spring
2023-03-06,Paris,6081,6.555494889657229,None,Summer
2023-11-20,Tokyo,5234,19.653151126132187,None,Spring
2023-11-01,Paris,7786,29.843223984765835,Holiday,Autumn
2023-10-29,New York,4340,18.508108402412812,None,Spring
2023-12-15,Sydney,6895,15.841326585882154,None,Summer
2023-09-16,Sydney,6826,16.266007316234305,Festival,Winter
2023-06-27,Tokyo,4623,23.436185895352175,None,Spring
2023-09-26,Sydney,8795,35.47505201330061,None,Summer
2023-04-08,New York,7612,13.872113095156138,Holiday,Winter
2023-05-17,New York,8334,22.85865390724905,Festival,Winter
2023-02-09,Paris,7201,18.230527725059506,Conference,Winter
2023-02-07,New York,7991,11.59091201952145,Holiday,Winter
2023-11-12,Sydney,6030,20.432716947442902,None,Autumn
2023-04-25,Tokyo,12016,25.4466744431839,Holiday,Summer
2023-08-25,Paris,9108,25.906548306923092,Holiday,Spring
2023-12-19,New York,10507,28.20482181197364,Holiday,Summer
2023-12-11,Sydney,8648,33.82158991037527,Holiday,Spring
2023-01-07,Sydney,7146,18.328819196831457,None,Summer
2023-12-29,Sydney,7606,23.686733088729014,Conference,Spring
2023-07-25,Sydney,8046,21.910990680199035,Holiday,Winter
2023-01-17,Tokyo,8213,34.95133745517411,Holiday,Autumn
2023-11-22,New York,8047,25.380223547968438,Conference,Spring
2023-11-15,London,8408,21.75545829890508,Conference,Autumn
2023-08-30,London,10174,16.370427210312926,Holiday,Summer
2023-07-12,Tokyo,9910,14.134519114786569,Conference,Autumn
2023-09-08,New York,4831,13.70928027930571,None,Autumn
2023-02-02,New York,9951,26.78299411192041,Festival,Summer
2023-04-09,Sydney,8107,32.98659734164335,Conference,Winter
2023-03-16,London,8731,12.765631858931748,Festival,Autumn
2023-01-27,New York,6853,17.775872215444345,Festival,Winter
2023-01-21,Sydney,9308,4.744748290752611,Holiday,Summer
2023-09-14,Tokyo,7330,12.89128069588759,Festival,Autumn
2023-11-16,Paris,7657,29.50502755282625,Holiday,Winter
2023-07-27,New York,7769,22.69669357397071,Holiday,Autumn
2023-11-05,New York,9329,26.42722759867544,Festival,Spring
2023-06-30,London,6658,18.383742545375288,Conference,Spring
2023-08-10,Paris,6420,23.655067348266925,Holiday,Spring
2023-11-15,Sydney,8995,13.653949647066433,Festival,Winter
2023-07-24,Paris,4311,18.269651213030823,None,Autumn
2023-04-05,New York,5478,23.72131391093161,None,Winter
2023-09-24,New York,3841,19.963974609094315,None,Autumn
2023-03-27,London,5026,17.79035826170336,None,Autumn
2023-12-19,Tokyo,6075,15.288918276973007,None,Winter
2023-04-13,Tokyo,7021,26.32116101268378,Conference,Spring
2023-05-23,Tokyo,8132,23.518910679064362,Conference,Spring
2023-11-13,New York,11383,37.01696208533461,Festival,Summer
2023-08-11,Paris,8681,23.932631513836775,Holiday,Spring
2023-11-14,London,8950,21.14533366215464,Conference,Spring
2023-11-10,Tokyo,9539,36.85648301419165,Conference,Summer
2023-01-12,London,5424,16.7965269180568,None,Winter
2023-02-24,London,9042,18.139434948571193,Holiday,Winter
2023-10-15,New York,6002,25.059911099595347,Festival,Autumn
2023-02-28,New York,7525,6.303018203149332,Festival,Autumn
2023-07-26,Paris,9725,31.31252790397738,Holiday,Summer
2023-10-20,London,9580,20.28596776718344,Holiday,Autumn
2023-02-19,Paris,10076,15.905447550217955,Holiday,Summer
2023-12-20,London,8883,18.273727000591805,Conference,Spring
2023-08-31,New York,6451,7.227795340769168,Festival,Spring
2023-01-18,Sydney,6314,24.016255054914733,None,Summer
2023-08-28,Tokyo,9172,19.744459290085548,Festival,Autumn
2023-11-14,London,9804,35.42255946048499,Conference,Winter
2023-03-25,Tokyo,11073,6.749235290639529,Festival,Summer
2023-01-28,Tokyo,6906,20.168850584198953,None,Summer
2023-06-13,Sydney,9700,24.331447692319088,Conference,Summer
2023-04-28,Tokyo,8424,11.13001939270466,Festival,Winter
2023-05-13,London,6487,7.034982325191709,Conference,Autumn
2023-04-17,Sydney,7177,34.9468857536438,None,Summer
2023-04-30,London,9089,21.73908041656505,Holiday,Autumn
2023-09-08,Sydney,8629,7.626583545529538,Festival,Autumn
2023-09-02,New York,5009,14.112364637932043,None,Winter
2023-10-03,Sydney,8503,4.555355063935325,Holiday,Spring
2023-06-27,London,8505,12.67315808742381,Holiday,Spring
2023-12-07,Paris,9406,15.415630598130823,Holiday,Summer
2023-03-27,Tokyo,8196,19.483715277077305,Conference,Winter
2023-04-24,Tokyo,9050,22.010990467149675,Festival,Winter
2023-03-17,New York,6187,31.05525932957984,None,Autumn
2023-05-27,Sydney,5943,1.4905964210473215,None,Autumn
2023-07-11,Paris,4492,17.380335636814472,None,Winter
2023-11-20,Tokyo,6772,31.894704889246405,Festival,Winter
2023-03-23,Sydney,7738,32.89756528375374,Conference,Winter
2023-12-10,Paris,9586,33.38115216447681,Conference,Winter
2023-05-23,Sydney,11111,42.12191309384686,Holiday,Summer
2023-08-12,Paris,9767,20.416890371319415,Holiday,Summer
2023-04-20,Tokyo,8033,51.41966977287799,Festival,Spring
2023-11-24,Tokyo,6354,6.10427533236404,Holiday,Spring
2023-10-20,London,5814,30.224409523938107,Conference,Autumn
2023-10-29,Tokyo,8086,33.18764615727194,Conference,Autumn
2023-04-17,Sydney,7937,21.042011039518762,Conference,Autumn
2023-09-28,London,4719,12.460354111333238,None,Winter
2023-02-21,New York,8978,44.557761995625555,Conference,Winter
2023-04-16,London,7933,23.162000762045608,Festival,Spring
2023-03-31,Paris,8513,14.596778168625118,Conference,Spring
2023-11-08,Paris,4924,33.97414703060372,None,Spring
2023-06-21,Sydney,8543,21.22297503032284,Conference,Spring
2023-04-28,Sydney,7337,12.980083121932447,Holiday,Spring
2023-01-10,Tokyo,5265,21.76511276162745,None,Winter
2023-02-18,Tokyo,6087,30.69850498701039,None,Summer
2023-04-10,London,10681,25.866782085300805,Festival,Summer
2023-08-30,Sydney,7413,26.337768809320984,None,Summer
2023-04-29,Sydney,7852,20.438114719791095,Festival,Winter
2023-06-09,New York,3314,34.59493603383521,None,Spring
2023-09-11,Paris,7227,24.145418143797883,Holiday,Spring
2023-11-19,Tokyo,6104,29.763839534621027,None,Spring
2023-10-07,London,9045,3.509176660657772,Conference,Spring
2023-10-15,Sydney,6985,14.183190860513562,Holiday,Spring
2023-03-11,Paris,9785,32.38549954911933,Holiday,Summer
2023-01-05,London,10108,30.310629139880533,Holiday,Summer
2023-02-19,New York,6766,8.27396743138684,Holiday,Spring
2023-11-22,Tokyo,11946,26.949979007768746,Holiday,Summer
2023-12-20,London,8076,25.583269125217225,Festival,Autumn
2023-11-29,Sydney,8586,21.69360824036078,Conference,Summer
2023-06-07,Paris,10383,19.79981100655571,Holiday,Summer
2023-01-30,Sydney,10764,28.653169020203798,Holiday,Summer
2023-11-17,Paris,4603,17.63419649270859,None,Spring
2023-08-19,Paris,8024,7.6183722519443275,Holiday,Winter
2023-05-22,London,6668,12.140105394920505,Conference,Winter
2023-12-07,Tokyo,7507,1.6379462689670348,None,Summer
2023-06-29,Tokyo,8031,28.363237229955516,Festival,Autumn
2023-05-23,London,7901,20.81829358547565,Holiday,Winter
2023-10-18,Tokyo,8599,25.684410062561547,Festival,Spring
2023-01-14,Paris,7120,27.12271489505878,None,Summer
2023-10-08,Sydney,5817,19.749730412548562,None,Spring
2023-04-20,Sydney,8351,12.00461078767316,Conference,Autumn
2023-01-25,London,8301,15.879275443162104,Holiday,Winter
2023-04-02,Sydney,10632,16.26172605950568,Festival,Summer
2023-06-09,Sydney,11256,3.435671348288494,Festival,Summer
2023-10-14,New York,7398,14.373997183463077,Conference,Winter
2023-09-24,Tokyo,7589,14.363509725736574,Conference,Winter
2023-11-25,London,7372,23.02449714360124,Festival,Spring
2023-09-09,Paris,8912,4.657013736155415,Holiday,Autumn
2023-11-04,London,7791,9.560271600017419,Festival,Autumn
2023-04-26,Sydney,12699,0.5601257051486712,Conference,Summer
2023-08-17,Sydney,4825,19.701095260977002,None,Spring
2023-08-07,Sydney,7203,28.63100226170631,Festival,Spring
2023-11-10,Sydney,5579,19.846901508270044,None,Winter
2023-07-07,New York,6959,8.069400450897637,None,Summer
2023-02-21,London,9205,24.428063810209153,Holiday,Spring
2023-02-11,Sydney,5166,24.65045461015182,None,Spring
2023-05-10,London,4833,23.25176796529064,None,Autumn
2023-08-20,Sydney,7902,-4.317135712621479,Conference,Autumn
2023-08-02,Paris,6246,20.320041490657665,None,Summer
2023-03-10,London,8090,17.710171385097535,Conference,Winter
2023-03-28,New York,5094,18.769860766430895,None,Winter
2023-01-17,Sydney,2728,12.308847765576104,None,Autumn
2023-08-16,New York,6221,9.233390654756704,Conference,Autumn
2023-09-18,Tokyo,7243,29.960476858058165,Conference,Spring
2023-11-25,Tokyo,9882,17.886639144490076,Festival,Summer
2023-08-05,Tokyo,10686,16.914503983262126,Festival,Summer
2023-06-13,London,8984,19.63223694304552,Holiday,Summer
2023-06-09,London,8201,11.709625416467922,Conference,Spring
2023-11-11,London,4239,14.885494444497688,None,Spring
2023-08-01,London,8815,23.074066978091007,Conference,Autumn
2023-05-02,Paris,5688,41.289465557456,None,Autumn
2023-05-29,London,7200,31.247986445931915,Conference,Autumn
2023-12-11,London,4914,19.056282499646187,None,Winter
2023-10-10,Tokyo,10021,32.38283071433636,Conference,Summer
2023-10-05,New York,6435,26.600105931171182,None,Winter
2023-04-28,New York,6143,21.62669998997532,None,Summer
2023-10-08,Sydney,9980,17.495319610080895,Holiday,Summer
2023-05-09,London,7577,32.87982473801938,Conference,Winter
2023-01-10,Sydney,8444,8.041169379648156,Festival,Autumn
2023-04-22,Sydney,8083,31.968949518024157,Holiday,Winter
2023-11-10,London,6893,5.50143434519094,Festival,Winter
2023-08-31,New York,5905,11.828145333910046,Festival,Winter
2023-01-20,Tokyo,9457,3.011508001963545,Festival,Autumn
2023-11-06,Sydney,7588,16.06018636697579,Festival,Spring
2023-01-20,Paris,9703,42.142515234622756,Conference,Summer
2023-08-04,Sydney,9886,38.61315597236394,Festival,Autumn
2023-09-11,Tokyo,8065,16.936465392286905,Festival,Spring
2023-11-01,New York,7350,31.159020533653614,Holiday,Spring
2023-04-27,London,7806,8.58310885866495,Conference,Autumn
2023-07-02,Paris,6878,19.17319314157301,None,Summer
2023-09-08,London,11854,9.75813175670795,Conference,Summer
2023-09-17,London,7040,17.73515901150168,Conference,Autumn
2023-03-19,London,11543,38.84586305934609,Conference,Summer
2023-03-02,Tokyo,8771,14.722231357540608,Conference,Spring
2023-12-03,New York,7805,30.329639471528058,Conference,Winter
2023-12-15,Sydney,4897,26.938557630079217,None,Autumn
2023-12-22,Tokyo,9772,19.724850949493636,Festival,Autumn
2023-05-09,Paris,7000,17.25771642945469,Festival,Autumn
2023-03-25,Paris,4107,10.236247287166284,None,Autumn
2023-06-12,London,8245,19.334714824479672,Holiday,Spring
2023-04-16,Paris,7252,19.78632705651564,Festival,Winter
2023-07-03,New York,8884,-4.242402602729417,Festival,Autumn
2023-01-07,Tokyo,8138,9.368909633505357,Holiday,Autumn
2023-07-18,Sydney,7470,4.374541431134574,Festival,Spring
2023-11-09,Sydney,3745,27.94264679621827,None,Spring
2023-08-06,Sydney,4964,24.664299824335263,None,Autumn
2023-06-10,Tokyo,7835,11.768819386519203,Holiday,Winter
2023-03-27,Paris,8152,17.04458759853451,Holiday,Winter
2023-03-27,Paris,7170,19.173522149618112,Festival,Winter
2023-03-06,Tokyo,7010,15.516197809461177,None,Winter
2023-05-05,London,8057,33.97226422558763,Conference,Autumn
2023-05-18,New York,8602,13.715151361039533,Conference,Autumn
2023-10-04,London,8808,27.954382526692875,Conference,Spring
2023-05-23,Sydney,9311,15.0250134159486,Festival,Summer
2023-06-17,Tokyo,10018,38.28593613064997,Festival,Autumn
2023-09-05,New York,11193,18.195200864093742,Holiday,Autumn
2023-09-19,London,6794,11.866453522110824,None,Summer
2023-07-16,New York,9292,32.706310606582235,Holiday,Summer
2023-03-26,Paris,10852,20.678555105274032,Conference,Summer
2023-02-11,London,9029,13.56450167682538,Festival,Autumn
2023-12-31,New York,8716,20.273227608641733,Festival,Summer
2023-08-08,Paris,9205,33.560781468067084,Holiday,Summer
2023-06-25,New York,9142,11.406597163006893,Holiday,Winter
2023-05-09,Sydney,8432,31.48733482929439,None,Summer
2023-09-17,London,7744,8.109887176199654,Festival,Spring
2023-10-10,Sydney,8223,37.92922591330873,Conference,Winter
2023-06-03,Sydney,5990,7.412683507369893,None,Summer
2023-05-14,New York,9083,6.72063486231548,Holiday,Autumn
2023-08-04,Tokyo,9042,20.697792134987978,Conference,Spring
2023-10-04,London,7633,17.610679008303055,Festival,Autumn
2023-06-29,Tokyo,7677,36.15375689469442,Conference,Winter
2023-10-06,Paris,7975,24.037300903366095,Holiday,Winter
2023-10-16,London,7324,16.82426801176262,Holiday,Winter
2023-09-05,London,8993,24.695591693529273,Conference,Summer
2023-01-01,New York,8125,0.6388468632137858,Festival,Autumn
2023-07-10,Sydney,5683,30.28682610696392,None,Summer
2023-05-22,London,5667,27.23610587228875,None,Autumn
2023-11-29,Tokyo,5861,16.206700801616712,None,Summer
2023-02-15,London,6986,17.61721539300417,Holiday,Winter
2023-11-30,New York,5421,17.781390962046938,None,Autumn
2023-03-24,New York,10495,28.434143093959996,Festival,Summer
2023-06-22,Paris,10808,14.64036554885952,Holiday,Summer
2023-04-30,Sydney,7650,17.765340176281477,Holiday,Winter
2023-11-16,Paris,6383,27.9994190194205,Holiday,Autumn
2023-08-15,Paris,11710,29.503075919735757,Festival,Summer
2023-04-30,Sydney,3307,14.418906422940442,None,Spring
2023-09-24,Tokyo,8786,7.740666350157973,Conference,Winter
2023-12-23,New York,6709,21.815868459487902,None,Autumn
2023-11-20,New York,9001,21.895816165987434,Festival,Winter
2023-10-28,London,7890,8.795773400883832,Holiday,Spring
2023-05-27,Tokyo,4728,34.32170143524633,None,Autumn
2023-06-28,London,9497,16.37262086515552,Conference,Summer
2023-03-17,Sydney,9069,11.04001193185498,Festival,Summer
2023-12-13,Paris,8194,13.77350638265548,Holiday,Winter
2023-06-02,Tokyo,4962,13.882309090947146,None,Winter
2023-05-16,New York,7916,5.936825363281661,Festival,Autumn
2023-10-18,Sydney,10363,29.626689195855317,Holiday,Autumn
2023-02-18,Paris,7422,30.844795830730707,Holiday,Spring
2023-07-11,Tokyo,10671,18.398672044333598,Festival,Summer
2023-02-06,Paris,4203,16.809460643333818,None,Winter
2023-07-02,Paris,7113,17.064611578424334,None,Summer
2023-11-29,Sydney,6415,1.9686032374405507,Holiday,Winter
2023-04-19,London,7021,30.519504058282656,Holiday,Winter
2023-09-07,Sydney,5146,15.169389483165606,None,Autumn
2023-08-03,Paris,10342,12.917115373983368,Holiday,Summer
2023-06-10,London,4012,17.888697611723057,None,Spring
2023-03-25,Paris,7349,17.751440181919214,Holiday,Winter
2023-09-15,Sydney,6266,31.761751052399198,Festival,Winter
2023-09-23,Tokyo,8925,24.516327016495964,Festival,Summer
2023-04-27,Tokyo,8917,25.587697845606268,Festival,Winter
2023-09-25,New York,6231,18.138776522478302,None,Summer
2023-12-23,Sydney,3514,18.253621481900698,None,Spring
2023-10-21,London,9083,17.04023156594266,Festival,Winter
2023-03-14,Sydney,8464,5.90306230466533,Festival,Spring
2023-10-15,New York,10457,34.960072127171784,Holiday,Summer
2023-01-23,New York,6337,33.043402428781526,Holiday,Autumn
2023-04-10,London,7589,9.090335697848017,Holiday,Winter
2023-01-07,London,5884,22.27653282631304,Holiday,Winter
